position COMBINED_rate(cM/Mb) Genetic_Map(cM)
194232 0.1221253870 0.0849741917
198998 0.1281211231 0.0855562413
199430 0.1303790322 0.0856115896
199527 0.1325727906 0.0856242364
200453 0.1349050885 0.0857469988
202756 0.1351906004 0.0860576852
203151 0.1351906004 0.0861110855
203592 0.1351323980 0.0861707045
203606 0.1351099577 0.0861725964
203827 0.1350802441 0.0862024557
204951 0.1352816354 0.0863542859
204959 0.1352944294 0.0863553681
204991 0.1351126070 0.0863596976
205299 0.1342160448 0.0864013123
206958 0.1189484349 0.0866239767
207379 0.1071407773 0.0866740540
207485 0.0969169456 0.0866854109
207866 0.0875738090 0.0867223362
208242 0.0745522675 0.0867552640
208285 0.0617729342 0.0867584697
208366 0.0502158341 0.0867634733
208695 0.0402576296 0.0867799944
210341 0.0391792800 0.0868462584
210658 0.0384365625 0.0868586782
211102 0.0381169505 0.0868757441
211131 0.0378785363 0.0868768495
212167 0.0376402623 0.0869160916
213185 0.0375033388 0.0869544094
213189 0.0372249160 0.0869545594
214184 0.0373447442 0.0869915982
215051 0.0375272499 0.0870239761
215608 0.0375272499 0.0870448788
215964 0.0492632971 0.0870582385
215985 0.0492534666 0.0870592730
216485 0.3527774301 0.0870838998
219710 0.3527693272 0.0882216070
219853 0.1688196622 0.0882720530
219887 0.0565173177 0.0882777929
219888 0.0565071175 0.0882778494
220739 0.0559594359 0.0883259369
222337 0.0556801595 0.0884153601
224473 0.0556865405 0.0885342929
227663 0.0558237431 0.0887119330
227838 0.0558008836 0.0887217022
229289 0.0561134972 0.0888026692
231347 0.0569336834 0.0889181508
232494 0.0580654563 0.0889834537
234125 0.0596917389 0.0890781585
237834 0.0605069094 0.0892995552
238254 0.0604684063 0.0893249681
238279 0.0613864655 0.0893264798
239939 0.0622170852 0.0894283813
240047 0.0635986904 0.0894351008
240058 0.0645406130 0.0894358003
240539 0.0652119975 0.0894668444
240589 0.0657366820 0.0894701050
242038 0.0716981338 0.0895653574
242559 0.0716283852 0.0896027122
248284 0.2018908181 0.0900127847
250403 0.2018809241 0.0904405913
250504 0.0764765544 0.0904609813
251903 0.0675492149 0.0905679720
253718 0.0641660024 0.0906905738
254012 0.0627505270 0.0907094386
254431 0.0627666137 0.0907357311
254954 0.0628145267 0.0907685580
256457 0.0653636088 0.0908629682
256848 0.0879966728 0.0908885254
257262 0.7847343356 0.0909249560
258917 0.4966508144 0.0922236914
258992 0.2086411675 0.0922609402
262535 0.2705624778 0.0930001558
263216 0.5522488396 0.0931844089
264753 0.5767981932 0.0940332153
266848 0.5577586558 0.0952416076
267763 0.5249604924 0.0957519567
268796 0.5215777804 0.0962942409
269300 0.5198232509 0.0965571161
270039 0.5197956230 0.0969412655
270235 0.5195220008 0.0970431454
270443 0.5196676080 0.0971512060
270798 0.5235062701 0.0973356880
271423 0.5208173071 0.0976628794
272249 0.5256914523 0.0980930745
272978 0.5356585945 0.0984763036
274947 0.5359469291 0.0995310154
275953 0.5484786935 0.1000701780
276176 0.6068083604 0.1001924887
276372 1.1704199739 0.1003114232
276475 2.3673936391 0.1004319764
276679 2.4121364212 0.1009149247
276971 2.4192706580 0.1016192686
277080 2.4230359189 0.1018829691
277252 2.4236552869 0.1022997313
277648 2.4236780760 0.1032594987
277705 2.4234606417 0.1033976484
278689 2.4208063196 0.1057823337
279153 2.3979806532 0.1069055878
279209 2.3978680651 0.1070398747
279210 2.3980308067 0.1070422726
283384 6.7461908394 0.1170516532
283519 7.4621085462 0.1179623889
284021 8.7409344848 0.1217083674
284495 8.7017278845 0.1258515704
284745 8.6826134099 0.1280270023
285046 8.6368537456 0.1306404690
285191 8.4987368012 0.1318928128
285246 8.3491811488 0.1323602433
286341 0.8114924418 0.1415025967
287712 0.7028046518 0.1426151528
287805 0.6224070548 0.1426805136
288553 0.5836008471 0.1431460741
288620 0.5506400965 0.1431851754
288672 0.5293759947 0.1432138086
292224 0.5299014602 0.1450941522
293389 0.5315202585 0.1457114874
293811 0.5320102575 0.1459357889
294139 0.5326158683 0.1461102883
294180 0.5333149093 0.1461321255
294557 0.5353124806 0.1463331853
296450 0.5474191024 0.1473465318
297022 0.5755070288 0.1476596555
297648 0.6347473795 0.1480199229
297769 0.6347812143 0.1480967273
302577 1.3906792175 0.1511487554
302644 1.6435390502 0.1512419309
305138 3.0670027011 0.1553409173
306558 14.6475090742 0.1596960612
307376 14.6507424422 0.1716777236
307791 14.6522533684 0.1777577817
309176 6.3887147342 0.1980511526
309446 3.4946263636 0.1997761056
312183 3.4978455410 0.2093408979
312522 3.5020613755 0.2105266676
317641 3.5103965100 0.2284537198
317829 4.0938266187 0.2291136743
320492 4.6419732105 0.2400155346
320655 4.6655820032 0.2407721762
321506 5.7551573525 0.2447425865
321827 6.4489901475 0.2465899920
322469 6.4214730619 0.2507302437
322483 6.3698252264 0.2508201443
322528 6.3339257476 0.2511067865
322961 6.3446505495 0.2538493763
323739 6.3456466356 0.2587855144
323758 6.3459711605 0.2589060817
324742 6.6215332302 0.2651505173
324758 6.9615011535 0.2652564619
324994 7.0270993899 0.2668993761
325099 6.9739811260 0.2676372216
325266 6.5850577703 0.2688018764
325316 6.1419659474 0.2691311293
325363 5.6533623038 0.2694198017
327468 5.6533623038 0.2813201294
327502 5.6533623038 0.2815123437
327543 4.3269021417 0.2817441315
327601 3.2254514174 0.2819950919
328113 1.9302094495 0.2836465230
328132 0.8031928474 0.2836831970
328155 0.2367296138 0.2837016704
328297 0.1997082931 0.2837352860
329337 0.9909963077 0.2839429826
329386 3.5242606163 0.2839915415
329519 7.1713899950 0.2844602681
329594 8.1954747493 0.2849981224
329727 7.2003146375 0.2860881205
329756 4.8122758359 0.2862969296
329994 1.0891046703 0.2874422513
330373 1.0558385573 0.2878550220
330507 1.0561081216 0.2879965043
330963 1.0540446073 0.2884780896
330992 1.0515144874 0.2885086569
331085 1.0507273415 0.2886064478
331466 1.0558573840 0.2890067749
332424 3.1279329921 0.2900182863
332971 3.1430998209 0.2917292656
333238 3.0838928375 0.2925684733
333982 1.5525425940 0.2948628895
334007 1.1597146365 0.2949017031
334459 0.0794068961 0.2954258941
335142 0.0782412380 0.2954801290
336821 0.0784569049 0.2956114961
337808 0.0787314685 0.2956889330
338265 0.0868922424 0.2957249133
338598 38.2186936046 0.2957538484
338694 44.3283606097 0.2994228430
338699 50.2366189084 0.2996444848
338764 57.7738576252 0.3029098650
341004 57.7631354282 0.4323233061
341114 1.2093662984 0.4386772510
341460 1.2076838970 0.4390956918
342074 1.2036726500 0.4398372097
342577 1.1829791360 0.4404426570
343288 1.1822433684 0.4412837552
344165 1.1936082185 0.4423205826
344264 1.1972639349 0.4424387498
344439 1.2132769690 0.4426482710
344542 1.2267269819 0.4427732385
345410 2.2204307352 0.4438380376
345568 3.1945198256 0.4441888656
345944 3.3383587638 0.4453900051
346095 3.3827639492 0.4458940972
346337 3.3822267201 0.4467127261
346374 3.3804171921 0.4468378685
347247 3.3689318632 0.4497889727
347570 3.3618925131 0.4508771377
348187 3.5244789811 0.4529514254
348226 3.7283859165 0.4530888801
349079 3.8381447327 0.4562691933
349141 3.8886268042 0.4565071582
349196 3.9513936783 0.4567210327
349884 4.0828565315 0.4594395916
350161 4.0872240986 0.4605705428
350971 4.2620480643 0.4638811943
351437 5.1058496990 0.4658673087
351710 5.0453048165 0.4672612057
352116 5.7117251020 0.4693095995
352173 5.7897741549 0.4696351678
352199 5.8606655079 0.4697857019
352623 4.3136680420 0.4722706241
352857 3.8677802320 0.4732800224
353254 3.8100445383 0.4748155312
354942 8.5505585001 0.4812468863
355815 15.7323978703 0.4887115239
355930 16.1682047527 0.4905207497
356043 16.1955537499 0.4923477568
357725 16.2027928341 0.5195886782
358115 16.2027928341 0.5259077674
359148 16.2027928341 0.5426452524
359955 16.2027928341 0.5557209062
360338 16.2027928341 0.5619265759
360543 16.2027928341 0.5652481484
361281 5.4532995036 0.5772058095
361902 6.2855681373 0.5805923085
361976 8.5108308376 0.5810574406
362041 13.6288467599 0.5816106446
362837 13.7659424959 0.5924592066
363503 13.7252309059 0.6016273243
363670 13.6429261765 0.6039194379
364047 11.3522889879 0.6090628210
364109 3.2025155042 0.6097666629
364117 2.0295572543 0.6097922831
365021 1.7188172368 0.6116270028
365289 1.5685998088 0.6120876458
365841 1.5662888542 0.6129535129
366191 1.5646864375 0.6135017140
366543 1.5644565777 0.6140524837
366602 1.5655374110 0.6141447866
366626 1.5657954955 0.6141823595
367075 1.5654054711 0.6148854017
367384 1.5620098075 0.6153691120
367746 1.5611368766 0.6159345595
367818 1.5582889988 0.6160469614
369644 1.5461974905 0.6188923971
369749 1.5356633034 0.6190547478
369855 1.5283978667 0.6192175281
370325 1.4883500961 0.6199358751
370831 1.4070900339 0.6206889803
370945 1.3586415242 0.6208493885
371704 1.3634278180 0.6218805975
371832 1.4352081954 0.6220551162
371997 1.4149423439 0.6222919256
372088 1.3344690754 0.6224206853
372268 1.1956996701 0.6226608898
372565 0.9689785982 0.6230160126
373336 0.6056496073 0.6237630951
374797 0.6145130662 0.6246479491
375140 0.6378268783 0.6248587271
375735 0.7355605115 0.6252382341
375908 0.8453285327 0.6253654861
376203 0.9103219094 0.6256148580
377004 0.9096858094 0.6263440258
377120 0.9090953718 0.6264495494
377431 0.9096406213 0.6267322781
377700 0.9094928135 0.6269769714
377970 0.9100310896 0.6272225344
378110 0.9112373968 0.6273499388
379081 0.9136769697 0.6282347503
380334 0.9143663752 0.6293795875
380905 0.9190517214 0.6299016907
381376 0.9239901017 0.6303345641
382544 0.9468230617 0.6314137845
382795 1.0470821984 0.6316514371
383649 1.2036131796 0.6325456453
383753 1.4735109183 0.6326708211
384141 2.1152331618 0.6332425433
384366 22.2595625778 0.6337184708
384762 22.2583212058 0.6425332576
384946 22.2576391483 0.6466287887
385016 22.2584361806 0.6481868234
385394 22.2567943658 0.6566005123
385650 22.2515339461 0.6622982517
385661 22.2515339461 0.6625430185
385885 22.1902386003 0.6675273621
386461 20.8007034440 0.6803089396
387177 0.8142062035 0.6952022432
388147 0.8687382924 0.6959920233
388803 1.0098312277 0.6965619156
388917 1.1463749921 0.6966770363
388985 1.0954711783 0.6967549898
389163 0.9171640575 0.6969499837
389245 1.0327438087 0.6970251912
389345 0.9587944761 0.6971284655
390706 0.8324153477 0.6984333848
390739 0.7125960711 0.6984608545
390749 0.6220887856 0.6984679805
390766 0.5095742158 0.6984785560
391069 0.4127258680 0.6986329570
391573 0.3854288968 0.6988409708
391660 0.3601765192 0.6988745031
391869 0.3446007349 0.6989497800
391933 0.3235865161 0.6989718345
393777 0.3236007161 0.6995685280
393892 0.3239330583 0.6996057421
393968 0.3242559589 0.6996303610
394000 0.3238388960 0.6996407372
397041 0.3392386227 0.7006255313
397132 0.3569684925 0.7006564020
397958 0.3824876031 0.7009512580
400368 0.3824876031 0.7018730531
400938 0.3918158872 0.7020910710
402122 0.3918177531 0.7025549810
404876 0.8605740069 0.7036340471
405105 1.1286132754 0.7038311186
405401 1.2209637115 0.7041651881
406138 1.2232300619 0.7050650384
407542 2.0151606150 0.7067824534
407559 2.9218476308 0.7068167111
408015 2.7719824750 0.7081490736
408106 1.4439501647 0.7084013240
408996 1.4520009146 0.7096864397
409599 1.2354306115 0.7105619962
410105 0.9706716962 0.7111871241
410806 1.6904426358 0.7118675650
411229 1.9665033262 0.7125826222
411278 1.9076140769 0.7126789809
411334 1.7534047871 0.7127858073
411412 1.5589079871 0.7129225728
411524 1.5372020448 0.7130971705
411579 1.5096108923 0.7131817166
411650 1.4759109867 0.7132888990
411654 1.4446334386 0.7132948027
412163 1.4213786417 0.7140301211
412504 1.0402579892 0.7145148112
412523 0.6446493759 0.7145345761
414115 2.3629433911 0.7155608579
414468 4.9615693087 0.7163949769
414510 5.3020558852 0.7166033628
414745 1.0213934508 0.7178493460
414867 0.7285583402 0.7179739560
415492 0.6974102283 0.7184293049
416016 0.6713022306 0.7187947479
416312 0.6738984537 0.7189934533
416365 0.7286650481 0.7190291700
416372 0.9004385199 0.7190342706
416396 0.9832218607 0.7190558811
416525 1.1629704481 0.7191827168
417306 0.2801913815 0.7200909967
418535 0.2803282661 0.7204353519
418607 0.2805060483 0.7204555355
418941 0.2815555779 0.7205492245
419054 0.2825082422 0.7205810403
419355 0.2851892835 0.7206660753
419689 0.2868154683 0.7207613285
420486 0.2954294013 0.7209899205
420555 0.3207370313 0.7210103051
420781 0.5844551548 0.7210827917
420954 1.1111494323 0.7211839024
422080 1.1040019031 0.7224350567
422940 1.1016454564 0.7233844983
423431 1.1091438987 0.7239254062
423993 1.5440346802 0.7245487451
424403 0.8290261820 0.7251817993
424478 0.4530123949 0.7252439763
424815 0.3475540038 0.7253966414
424879 0.2849749789 0.7254188849
424925 0.2478580320 0.7254319937
424956 0.2090908231 0.7254396773
425206 0.2102961163 0.7254919500
425867 0.2051594287 0.7256309558
425951 1.3035663143 0.7256481892
427232 1.2763229321 0.7273180576
427286 1.2498504344 0.7273869791
427894 1.2498504344 0.7281468881
428460 1.2437316627 0.7288543035
428717 1.2368762836 0.7291739425
428979 1.2338609082 0.7294980041
429089 1.2338609082 0.7296337288
429795 4.9026696341 0.7305048346
432441 1.4766262187 0.7434772984
433052 1.4751832572 0.7443795171
433281 1.4765611922 0.7447173340
434687 1.4765620379 0.7467933791
435002 1.4766786040 0.7472584961
435039 1.4771220563 0.7473131332
435309 1.4770280949 0.7477119562
436773 1.4771856737 0.7498743253
437835 1.4774277665 0.7514430965
437999 1.4771813650 0.7516853946
438441 1.4771221562 0.7523383088
439576 1.4768512515 0.7540148425
440102 1.4768440566 0.7547916662
442104 1.4777659710 0.7577483080
442284 1.4764145676 0.7580143059
442640 1.4724658809 0.7585399095
442663 1.4655258937 0.7585737762
442951 1.4653968471 0.7589958476
444728 1.5167171212 0.7615998578
444937 1.6311099131 0.7619168517
445128 1.8530317448 0.7622283937
445937 7.0717397883 0.7637274964
445988 17.3177180871 0.7640881551
446330 18.3765059389 0.7700108147
446539 18.3735108244 0.7738515045
446750 18.3735108244 0.7777283152
447853 18.8824575814 0.7979942977
447867 19.3747242960 0.7982586521
447934 19.9867446708 0.7995567586
448383 19.3946282542 0.8085308070
448505 18.8481348123 0.8108969516
448662 10.5152111398 0.8138561088
448761 1.2671987603 0.8148971147
449651 2.5457507721 0.8160249216
450565 2.5523287927 0.8183517378
450631 2.5607670322 0.8185201915
450730 2.5776080585 0.8187737074
451182 1.1496518578 0.8199387863
451227 0.5859982296 0.8199905206
451778 0.8908455080 0.8203134056
451872 1.0839592973 0.8203971451
452180 1.2041343965 0.8207310046
452289 1.3425793744 0.8208622552
453020 1.5652975152 0.8218436807
453146 2.0031412821 0.8220409082
453177 2.8406148212 0.8221030056
453418 7.8933766524 0.8227875938
453606 8.8318068937 0.8242715486
454909 8.8047541603 0.8357793930
456283 8.7383308128 0.8478771252
456351 8.6357204923 0.8484713317
456810 8.3965451916 0.8524351274
457001 8.1074480356 0.8540388675
457468 8.0577785445 0.8578250458
457676 6.0782375667 0.8595010637
458320 1.4969974823 0.8634154487
459426 1.2363224732 0.8650711279
459797 1.1059930430 0.8655298035
459993 1.1002832275 0.8657465782
460944 0.9125385451 0.8667929475
461773 0.8900178362 0.8675494420
461809 0.8777644530 0.8675814826
463288 0.8680866538 0.8688796962
465155 0.8665113503 0.8705004140
465172 0.8625382935 0.8705151447
465530 0.8611042979 0.8708239334
465761 0.8615289621 0.8710228485
465796 0.8581656217 0.8710530020
466477 0.8559514105 0.8716374128
466643 0.8539089940 0.8717795008
468440 0.8617489821 0.8733139752
468887 0.8613722654 0.8736991770
469568 0.8772076845 0.8742857715
469816 0.8901352351 0.8745033190
469891 0.9156847876 0.8745700792
469913 0.9344772450 0.8745902242
470875 0.8926004606 0.8754891913
472029 0.8619181540 0.8765192523
472032 0.8457968652 0.8765218380
473537 0.8280703904 0.8777947623
473682 0.8129537189 0.8779148325
475410 0.8860961563 0.8793196166
475968 1.0615793479 0.8798140582
476343 1.1105625341 0.8802121505
476602 1.1662702628 0.8804997862
476678 1.2318792653 0.8805884227
476757 1.3123348474 0.8806857412
477281 1.3733246004 0.8813734046
477395 1.4325393094 0.8815299636
478940 1.4363312912 0.8837432369
479242 1.4374915007 0.8841770089
479385 1.4377670288 0.8843825702
480268 1.4271375877 0.8856521185
480324 1.4237880472 0.8857320382
481967 17.8918282881 0.8880713219
482315 23.0214252064 0.8942976782
482874 23.8353078176 0.9071666549
485656 23.3637787279 0.9734764812
487729 10.5400495982 1.0219095945
493381 9.6491209746 1.0814819549
495004 8.6301310538 1.0971424782
495472 3.2582446738 1.1011813795
501960 2.9537598203 1.1223208710
503861 2.9544590241 1.1279359684
506584 2.9533460971 1.1359809603
506798 2.9567801289 1.1366129764
508222 2.9769411566 1.1408234313
513832 2.9770351658 1.1575240712
513934 2.9775067133 1.1578277288
514184 3.0168274631 1.1585721054
515667 3.0287551558 1.1630460606
515734 3.0342723900 1.1632489872
516458 3.0445373087 1.1654458004
516599 3.0414880964 1.1658750801
517087 2.4054316355 1.1673593263
517110 1.7434959409 1.1674146513
517473 1.6869293119 1.1680475403
518165 1.6867144596 1.1692148954
519676 1.6701734674 1.1717635209
520247 1.6701255269 1.1727171900
520318 1.6130621587 1.1728357689
522488 1.6130796477 1.1763361138
522708 1.5573315844 1.1766909913
523191 1.5190492708 1.1774431824
523368 1.4887241546 1.1777120542
523397 1.4664995065 1.1777552272
524341 1.5057499410 1.1791396027
525348 1.7714780111 1.1806558929
532433 3.4051707201 1.1932068146
534118 6.2054932413 1.1989445273
534739 11.9663452678 1.2027981386
537239 16.1948314346 1.2327140017
539319 16.1746704927 1.2663992511
541688 4.8390442474 1.3047170455
541899 1.5350950768 1.3057380838
543456 1.4821893804 1.3081282269
543718 0.8238904414 1.3085165605
545074 0.9134711705 1.3096337559
545760 1.6083767015 1.3102603972
547087 2.6201733834 1.3123947130
547564 2.9671090269 1.3136445357
553815 6.4706298702 1.3321919343
555414 6.4734812510 1.3425384714
555760 5.2618799169 1.3447782959
556183 4.3044575658 1.3470040712
556242 3.5727506503 1.3472580341
556272 2.9847931375 1.3473652167
556368 1.6989709675 1.3476517568
556905 0.7974474056 1.3485641042
557127 0.6763042429 1.3487411375
557260 0.5680013095 1.3488310860
558040 0.5878095862 1.3492741270
558118 0.6567789646 1.3493199762
558868 0.9010503372 1.3498125604
559517 0.9498140117 1.3503973421
560002 0.9794125140 1.3508580019
560233 1.0357991719 1.3510842462
560500 1.2517144524 1.3513608045
560754 1.2511312995 1.3516787400
560814 1.8853565208 1.3517538079
560864 2.2372822197 1.3518480757
560939 2.1640936740 1.3520158719
563765 1.9568133488 1.3581316006
568218 2.5424623631 1.3668452904
569716 11.4934080073 1.3706538991
571123 11.3792625429 1.3868251241
571446 4.9284268689 1.3905006259
572838 1.0361316126 1.3973609961
575386 1.0095728932 1.4000010595
577290 0.9943179928 1.4019232863
580003 1.0070052061 1.4046208710
584262 6.6275627901 1.4089097062
586742 6.6276127806 1.4253460619
587751 5.1573169910 1.4320333232
587950 1.6592767032 1.4330596293
592081 1.0506958703 1.4399141013
593438 1.0355099319 1.4413398956
593600 1.0195698801 1.4415076482
593871 1.0070925491 1.4417839517
594818 1.0017820787 1.4427376683
595312 1.0019978828 1.4432325486
595530 1.0036553801 1.4434509842
596115 1.0091801222 1.4440381226
596495 1.0081892669 1.4444216110
598018 1.0453884311 1.4459570833
598179 1.2040957895 1.4461253908
598312 18.8338960068 1.4462855356
598342 18.9684344949 1.4468505524
598468 31.0065785575 1.4492405752
598480 43.5411056227 1.4496126541
599954 43.5411056227 1.5137922438
600157 43.5411056227 1.5226310883
600199 43.5411056227 1.5244598147
600273 43.5411056227 1.5276818565
600634 43.5411056227 1.5434001956
601061 43.5411056227 1.5619922477
601323 43.5411056227 1.5734000174
602454 43.5411056227 1.6226450079
602753 43.5411056227 1.6356637985
602819 43.5411056227 1.6385375114
603020 43.5411056227 1.6472892737
604708 42.7732996069 1.7207866599
605014 40.5150298394 1.7338752896
605394 7.4477304290 1.7492710010
605650 6.3160827321 1.7511776200
606072 5.8807314693 1.7538430069
606077 5.2089248490 1.7538724105
606195 5.2099926048 1.7544870637
606317 5.2099926048 1.7551226828
606348 5.2099926048 1.7552841925
606653 5.2114587898 1.7568732403
606783 5.2106586604 1.7575507299
607110 5.2253845081 1.7592546153
607928 5.2253845081 1.7635289798
608124 8.0859255289 1.7645531552
608201 13.4663839030 1.7651757715
608741 13.6990360123 1.7724476188
609050 13.6990360123 1.7766806209
610089 13.6990360123 1.7909139193
610709 13.6990360123 1.7994073216
611300 13.6176986169 1.8075034519
611808 12.6814850528 1.8144212428
612048 12.5975494958 1.8174647992
612494 12.5251918368 1.8230833063
613784 12.5001759357 1.8392408038
614631 12.5035864144 1.8498284528
614783 12.5054917455 1.8517289979
614824 12.5013367154 1.8522417231
615145 12.5060876269 1.8562546522
615820 12.5388941952 1.8646962613
617629 13.5229552007 1.8873791209
618487 14.1264122670 1.8989818165
618980 14.9725639132 1.9059461377
619035 15.1690971356 1.9067696287
619239 15.1736984937 1.9098641246
621211 6.9339566425 1.9397866580
621314 6.7411738342 1.9405008555
621332 6.6045696935 1.9406221966
621348 6.4614092094 1.9407278698
621435 4.5821052118 1.9412900124
621526 4.3625864194 1.9417069839
621994 4.4016039503 1.9437486744
622239 4.4042458562 1.9448270674
622651 4.4438797238 1.9466416166
624559 4.4031344787 1.9551205392
625288 3.8886895340 1.9583304242
625432 3.8745454429 1.9588903955
627424 4.6629969270 1.9666084900
627631 10.3781130780 1.9675737304
631024 9.5571674813 2.0027866680
632678 1.3096074617 2.0185942231
634527 1.2961297560 2.0210156873
639311 2.9740942828 2.0272163720
640968 3.4818910572 2.0321444462
647352 9.5494917703 2.0543728387
648064 13.0904857781 2.0611720769
649236 8.3296038523 2.0765141262
650383 1.0093001849 2.0860681818
651005 0.5672350270 2.0866959666
651647 0.3321894793 2.0870601314
652103 0.3002725738 2.0872116098
652135 0.2753944052 2.0872212186
652370 0.2360212942 2.0872859362
652463 0.2064632534 2.0873078862
656371 0.2992663983 2.0881147446
658258 0.1987432046 2.0886794603
658300 0.1235168322 2.0886878075
658376 0.0905428254 2.0886971948
658650 0.1017844451 2.0887220035
660414 0.1351170477 2.0889015513
662363 0.1348132994 2.0891648944
663016 0.1367040461 2.0892529275
663789 0.2502218548 2.0893585997
663995 0.5141623612 2.0894101454
664320 0.5141623612 2.0895772482
664440 0.4306773150 2.0896389477
665000 0.9740978289 2.0898801270
665307 0.9813802690 2.0901791750
665774 1.0924941518 2.0906374796
665787 1.4267573842 2.0906516820
665903 4.2941206354 2.0908171859
666008 4.3011635026 2.0912680686
666228 1.0157129215 2.0922143245
666331 1.0049291681 2.0923189430
666473 0.9909132637 2.0924616429
666490 0.9593753728 2.0924784884
666789 0.9593276504 2.0927653417
667214 0.5130677278 2.0931730559
667240 0.2443986730 2.0931863957
667302 0.1446774891 2.0932015484
667621 0.1405078686 2.0932477005
667931 0.1405189522 2.0932912580
668847 0.1429822584 2.0934199733
668947 0.1476123733 2.0934342715
669637 0.5952136268 2.0935361241
670380 0.4924170386 2.0939783678
670520 0.3896364800 2.0940473062
670838 0.2272784791 2.0941712106
671724 0.2275860118 2.0943725793
671962 0.2277517245 2.0944267448
672399 0.2286582939 2.0945262723
673116 0.3216808381 2.0946902203
673607 1.5214204353 2.0948481656
673861 2.6527477906 2.0952346064
674766 0.4569125149 2.0976353431
675447 0.4502892549 2.0979465005
675574 0.4491324322 2.0980036873
676370 0.4746245969 2.0983611967
676662 0.5403328654 2.0984997871
676782 0.6041413921 2.0985646270
677119 0.8317946526 2.0987682227
677270 1.2342343999 2.0988938237
680810 0.4506715007 2.1032630134
681173 0.2948746967 2.1034266072
681266 0.2276005038 2.1034540305
682282 0.3838382878 2.1036852727
682808 0.5373163221 2.1038871716
683269 0.4936052518 2.1041348744
683285 0.4582727038 2.1041427721
683767 0.4592506037 2.1043636595
683828 0.4643965402 2.1043916738
683977 4.3381522591 2.1044608689
684206 1.1292241355 2.1054543058
684538 0.4875339973 2.1058292082
684678 0.4802333431 2.1058974630
685030 0.4800072674 2.1060665051
685367 0.4801182176 2.1062282675
686533 0.5290808593 2.1067880854
686645 0.6733149380 2.1068473424
686703 0.8994805373 2.1068863947
686748 1.1605677938 2.1069268713
688312 0.4815283598 2.1087419994
689120 0.4827235730 2.1091310743
693442 1.1170352016 2.1112174056
694430 1.2057585074 2.1123210363
695598 1.1498234331 2.1137293623
695695 1.1088883417 2.1138408951
696047 1.1047529912 2.1142312238
696092 1.0980796814 2.1142809377
696589 1.0987310824 2.1148266833
697511 1.2150861904 2.1158397134
699202 1.1734011451 2.1178944241
702037 0.2361561061 2.1212210164
706739 0.2377227399 2.1223314224
707229 0.2359140512 2.1224479065
712118 0.2356450285 2.1236012903
712402 0.2349510141 2.1236682135
714612 0.2349441431 2.1241874553
717654 0.2350465429 2.1249021553
718938 0.2350306039 2.1252039551
720855 0.2347387978 2.1256545088
721442 0.6638543370 2.1257923004
721456 1.1323515346 2.1258015944
722017 1.1191360612 2.1264368436
722476 0.8348307235 2.1269505271
722812 0.8345253632 2.1272310302
723474 0.1806769620 2.1277834860
724122 0.1494603728 2.1279005647
727083 0.1494575965 2.1283431168
